stop_id,use
"par_4_27",2570718.00
"par_4_41",13111084.00
"par_4_322",1905068.00
"par_4_254",1560021.00
"par_4_61",18051490.00
"par_4_107",3906267.00
"par_4_81",9522416.00
"par_4_74",4305404.00
"par_4_264",2272233.00
"par_4_227",3719982.00
"par_4_268",3678580.00
"par_4_207",1460425.00
"par_4_78",12616887.00
"par_4_167",13290627.00
"par_4_100",10399269.00
"par_4_70",4725819.00
"par_4_217",1579557.00
"par_4_224",1485650.00
"par_4_326",1958411.00
"par_4_187",2689751.00
"par_4_69",2795889.00
"par_4_25",4253628.00
"par_4_253",1267151.00
"par_4_48",70953620.00
"par_4_290",1249504.00
"par_4_12",70953620.00
"par_4_56",14211880.00
"par_4_140",2984527.00
"par_4_276",3756024.00
"par_4_23",3526000.00
"par_4_284",2126286.00
"par_4_50",23954089.00
"par_4_76",5236863.00
"par_4_79",4562307.00
"par_4_46",12334586.00
"par_4_35",70953620.00
"par_4_288",3279701.00
"par_4_1",37361848.00
"par_4_175",3673677.00
"par_4_212",1485319.00
"par_4_42",23402733.00
"par_4_101",2370129.00
"par_4_137",12616887.00
"par_4_150",3915916.00
"par_4_275",2054021.00
"par_4_296",351971.00
"par_4_156",13290627.00
"par_4_113",10894822.00
"par_4_149",2488684.00
"par_4_68",4496219.00
"par_4_265",1763051.00
"par_4_324",2129440.00
"par_4_5",3463184.00
"par_4_77",6708672.00
"par_4_34",1150897.00
"par_4_106",17946592.00
"par_4_72",3044041.00
"par_4_32",5083441.00
"par_4_236",1758071.00
"par_4_228",2240337.00
"par_4_292",631931.00
"par_4_40",5957643.00
"par_4_177",4465626.00
"par_4_281",1592918.00
"par_4_286",10723301.00
"par_4_29",13391339.00
"par_4_62",3076127.00
"par_4_252",3110859.00
"par_4_99",2633330.00
"par_4_52",25421436.00
"par_4_21",4403176.00
"par_4_160",3412353.00
"par_4_295",1536049.00
"par_4_323",3227947.00
"par_4_120",43922620.00
"par_4_258",2912460.00
"par_4_157",9864215.00
"par_4_134",3187147.00
"par_4_215",2699234.00
"par_4_199",1718898.00
"par_4_260",5282142.00
"par_4_80",6009954.00
"par_4_2",5038540.00
"par_4_4",9203377.00
"par_4_59",4809637.00
"par_4_203",3447998.00
"par_4_124",14887925.00
"par_4_71",9864215.00
"par_4_282",1507014.00
"par_4_130",5546091.00
"par_4_154",1382414.00
"par_4_148",2320664.00
"par_4_116",13391339.00
"par_4_209",10690571.00
"par_4_6",23402733.00
"par_4_225",1808496.00
"par_4_43",22178806.00
"par_4_16",14368554.00
"par_4_103",9839897.00
"par_4_30",18051490.00
"par_4_121",23402733.00
"par_4_188",7299890.00
"par_4_158",4398652.00
"par_4_273",5065652.00
"par_4_223",660994.00
"par_4_289",1820724.00
"par_4_305",962413.00
"par_4_20",6494085.00
"par_4_66",5738262.00
"par_4_8",7365867.00
"par_4_9",14211880.00
"par_4_190",37361848.00
"par_4_33",7292002.00
"par_4_75",2843968.00
"par_4_278",1481940.00
"par_4_44",7158034.00
"par_4_136",3750763.00
"par_4_226",6109136.00
"par_4_28",9522416.00
"par_4_19",7363578.00
"par_4_220",1999808.00
"par_4_55",7152830.00
"par_4_39",7152830.00
"par_4_294",3183938.00
"par_4_191",8307616.00
"par_4_234",1288138.00
"par_4_109",8101879.00
"par_4_179",3818904.00
"par_4_162",6170848.00
"par_4_291",670215.00
"par_4_176",3745955.00
"par_4_26",3104603.00
"par_4_95",4785980.00
"par_4_233",1766713.00
"par_4_10",18381200.00
"par_4_22",4632126.00
"par_4_205",10690571.00
"par_4_45",4686303.00
"par_4_193",43922620.00
"par_4_173",3636807.00
"par_4_65",4218964.00
"par_4_197",23954089.00
"par_4_161",3409645.00
"par_4_97",4101019.00
"par_4_293",2304395.00
"par_4_143",4115482.00
"par_4_196",18381200.00
"par_4_102",3724170.00
"par_4_54",25421436.00
"par_4_67",2279892.00
"par_4_105",5921880.00
"par_4_256",1723013.00
"par_4_86",4680150.00
"par_4_129",4312661.00
"par_4_165",1273993.00
"par_4_182",8051096.00
"par_4_169",2895923.00
"par_4_90",6445698.00
"par_4_126",25421436.00
"par_4_53",42073023.00
"par_4_92",4098463.00
"par_4_219",2652435.00
"par_4_145",7872824.00
"par_4_201",9839897.00
"par_4_259",3142010.00
"par_4_178",4196718.00
"par_4_287",1136197.00
"par_4_279",2721346.00
"par_4_125",42073023.00
"par_4_132",2421296.00
"par_4_274",14548748.00
"par_4_181",1200159.00
"par_4_133",2392608.00
"par_4_139",2735733.00
"par_4_231",2708882.00
"par_4_229",1064785.00
"par_4_221",4612880.00
"par_4_96",17946592.00
"par_4_152",2236352.00
"par_4_88",21627220.00
"par_4_104",4172308.00
"par_4_325",2965189.00
"par_4_222",2324222.00
"par_4_37",2794760.00
"par_4_230",994610.00
"par_4_168",2979497.00
"par_4_144",13111084.00
"par_4_218",2668317.00
"par_4_255",1675695.00
"par_4_267",3795520.00
"par_4_91",3774626.00
"par_4_213",1979209.00
"par_4_98",4345207.00
"par_4_155",43922620.00
"par_4_163",2218515.00
"par_4_38",5055243.00
"par_4_13",7355345.00
"par_4_271",5902243.00
"par_4_208",1037919.00
"par_4_110",22178806.00
"par_4_164",37361848.00
"par_4_49",21627220.00
